"module name","licenses","repository","licenseUrl","parents"
"end-of-stream@1.4.4","MIT","https://github.com/mafintosh/end-of-stream","https://github.com/mafintosh/end-of-stream/raw/master/LICENSE","acap-sdk"
"enhanced-resolve@4.1.0","MIT","https://github.com/webpack/enhanced-resolve","http://www.opensource.org/licenses/mit-license.php","webpack-cli:acap-sdk"
"enhanced-resolve@4.1.1","MIT","https://github.com/webpack/enhanced-resolve","http://www.opensource.org/licenses/mit-license.php","acap-sdk"
"errno@0.1.7","MIT","https://github.com/rvagg/node-errno","https://github.com/rvagg/node-errno","acap-sdk"
"es-abstract@1.17.5","MIT","https://github.com/ljharb/es-abstract","https://github.com/ljharb/es-abstract/raw/master/LICENSE","acap-sdk"
"es-to-primitive@1.2.1","MIT","https://github.com/ljharb/es-to-primitive","https://github.com/ljharb/es-to-primitive/raw/master/LICENSE","acap-sdk"
"es6-templates@0.2.3","Apache 2","https://github.com/esnext/es6-templates","https://github.com/esnext/es6-templates/raw/master/LICENSE","acap-sdk"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html","https://github.com/component/escape-html/raw/master/LICENSE","acap-sdk"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp","https://github.com/sindresorhus/escape-string-regexp/raw/master/license","acap-sdk"
"eslint-scope@4.0.3","BSD-2-Clause","https://github.com/eslint/eslint-scope","https://github.com/eslint/eslint-scope/raw/master/LICENSE","acap-sdk"
"esprima@3.1.3","BSD-2-Clause","https://github.com/jquery/esprima","https://github.com/jquery/esprima/raw/master/LICENSE.BSD","acap-sdk"
"esrecurse@4.2.1","BSD-2-Clause","https://github.com/estools/esrecurse","https://github.com/estools/esrecurse","acap-sdk"
"estraverse@4.3.0","BSD-2-Clause","https://github.com/estools/estraverse","https://github.com/estools/estraverse/raw/master/LICENSE.BSD","acap-sdk"
"etag@1.8.1","MIT","https://github.com/jshttp/etag","https://github.com/jshttp/etag/raw/master/LICENSE","acap-sdk"
"eventemitter3@4.0.0","MIT","https://github.com/primus/eventemitter3","https://github.com/primus/eventemitter3/raw/master/LICENSE","acap-sdk"
"events@3.1.0","MIT","https://github.com/Gozala/events","https://github.com/Gozala/events/raw/master/LICENSE","acap-sdk"
"eventsource@1.0.7","MIT","https://github.com/EventSource/eventsource","https://github.com/EventSource/eventsource/raw/master/LICENSE","acap-sdk"
"evp_bytestokey@1.0.3","MIT","https://github.com/crypto-browserify/EVP_BytesToKey","https://github.com/crypto-browserify/EVP_BytesToKey/raw/master/LICENSE","acap-sdk"
"execa@1.0.0","MIT","https://github.com/sindresorhus/execa","https://github.com/sindresorhus/execa/raw/master/license","acap-sdk"
"expand-brackets@2.1.4","MIT","https://github.com/jonschlinkert/expand-brackets","https://github.com/jonschlinkert/expand-brackets/raw/master/LICENSE","acap-sdk"
"expand-tilde@2.0.2","MIT","https://github.com/jonschlinkert/expand-tilde","https://github.com/jonschlinkert/expand-tilde/raw/master/LICENSE","acap-sdk"
"express@4.17.1","MIT","https://github.com/expressjs/express","https://github.com/expressjs/express/raw/master/LICENSE","acap-sdk"
"extend-shallow@2.0.1","MIT","https://github.com/jonschlinkert/extend-shallow","https://github.com/jonschlinkert/extend-shallow/raw/master/LICENSE","set-value:acap-sdk"
"extend-shallow@3.0.2","MIT","https://github.com/jonschlinkert/extend-shallow","https://github.com/jonschlinkert/extend-shallow/raw/master/LICENSE","acap-sdk"
"extglob@2.0.4","MIT","https://github.com/micromatch/extglob","https://github.com/micromatch/extglob/raw/master/LICENSE","acap-sdk"
"fast-deep-equal@2.0.1","MIT","https://github.com/epoberezkin/fast-deep-equal","https://github.com/epoberezkin/fast-deep-equal/raw/master/LICENSE","acap-sdk"
